"#","QUANTITY","PART NUMBER","MANUFACTURER PART NUMBER","DESCRIPTION","CUSTOMER REFERENCE","BACKORDER","UNIT PRICE","EXTENDED PRICE"
"1","1","497-7413-5-ND","MC34063ACN","IC REG BUCK BST ADJ 1.5A 8DIP","U1","0","0.78000","0.78"
"2","1","LM2576TV-012GOS-ND","LM2576TV-012G","IC REG MULT CONFG 12V 3A TO220-5","U0","0","2.05000","2.05"
"3","1","2057-ICS-316-T-ND","ICS-316-T","IC SOCKET, DIP, 16P 2.54MM PITCH","U3","0","0.18000","0.18"
"4","6","1MZCT-ND","FMP200JR-52-1M","RES 1M OHM 2W 5% AXIAL","R11, R14, R17, R20, R23, R26","0","0.34000","2.04"
"5","1","CF12JT180RCT-ND","CF12JT180R","RES 180 OHM 1/2W 5% AXIAL","R8","0","0.10000","0.10"
"6","1","475KXBK-ND","MFR-25FBF52-475K","RES 475K OHM 1/4W 1% AXIAL","R7","0","0.10000","0.10"
"7","1","4.02KXBK-ND","MFR-25FBF52-4K02","RES 4.02K OHM 1/4W 1% AXIAL","R6","0","0.10000","0.10"
"8","1","13.7KXBK-ND","MFR-25FBF52-13K7","RES 13.7K OHM 1/4W 1% AXIAL","R5","0","0.10000","0.10"
"9","1","S1KHCT-ND","CFM12JT1K00","RES 1K OHM 1/2W 5% CF MINI","R4","0","0.10000","0.10"
"10","1","497-2757-5-ND","IRF630","MOSFET N-CH 200V 9A TO-220","Q12","0","1.04000","1.04"
"11","6","1514-MPSA92PBFREE-ND","MPSA92 PBFREE","TRANS PNP 300V 0.5A TO-92","Q1, Q3, Q5, Q7, Q9, Q11","0","0.48000","2.88"
"12","6","MPSA42FS-ND","MPSA42","TRANS NPN 300V 0.5A TO-92","Q0, Q2, Q4, Q6, Q8, Q10","0","0.44000","2.64"
"13","2","RLB9012-101KL-ND","RLB9012-101KL","FIXED IND 100UH 1.4A 280 MOHM TH","L0, L1","0","0.72000","1.44"
"14","1","1N5822GOS-ND","1N5822G","DIODE SCHOTTKY 40V 3A DO201AD","D2","0","0.43000","0.43"
"15","1","2092-KLDX-0202-B-ND","KLDX-0202-B","CONN PWR JACK 2.5X5.5MM SOLDER","J0","0","0.53000","0.53"
"16","1","BAV21-TAPGICT-ND","BAV21-TAP","DIODE GEN PURP 200V 250MA DO35","D1","0","0.17000","0.17"
"17","1","1N914CT-ND","1N914TR","DIODE GEN PURP 100V 200MA DO35","D0","0","0.10000","0.10"
"18","1","732-8883-1-ND","860021373005","CAP ALUM 3.3UF 20% 400V RADIAL","C4","0","0.28000","0.28"
"19","1","732-8847-1-ND","860020672001","CAP ALUM 0.1UF 20% 50V RADIAL","C5","0","0.10000","0.10"
"20","1","732-8634-1-ND","860010473011","CAP 220 UF 20% 25 V","C3","0","0.21000","0.21"
"21","1","732-8630-1-ND","860010473007","CAP 100 UF 20% 25 V","C0","0","0.12000","0.12"
"22","1","BC2690CT-ND","K681K10X7RF5UH5","CAP CER 680PF 50V X7R RADIAL","C2","0","0.22000","0.22"
"23","1","399-6603-ND","ESK108M025AH4AA","CAP ALUM 1000UF 20% 25V RADIAL","C1","0","0.47000","0.47"
"24","12","RNF14FTD10K0CT-ND","RNF14FTD10K0","RES 10K OHM 1/4W 1% AXIAL","R10, 13, 16, 19, 22, 25, 27, 28, 29, 30, 31, 32","0","0.07200","0.86"
"25","12","P20KW-2CT-ND","ERG-2SJ203V","RES 20K OHM 2W 5% AXIAL","R9, R12, R15, R18, R21, R24","0","0.26900","3.23"
"26","4","RSMF2JT1R00CT-ND","RSMF2JT1R00","RES 1 OHM 2W 5% AXIAL","R0, R1, R2, R3","0","0.28000","1.12"
"27","2","1212-1099-ND","310-87-110-41-001101","CONN SOCKET 10POS 0.1 GOLD PCB","U2","0","0.62000","1.24"
"28","1","1939-1996-ND","WR95E2000LCP-F(R6B)","AC/DC WALL MOUNT ADAPTER 12V 24W","","0","11.57000","11.57"